NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Montbello,36176.0,22252.0,3875.0,7900.0,126.0,817.0,0.0,150.0,1056.0,61.80660242,11.00402304,21.33578055,0.37088619,2.32146738,0.0,0.3852099,2.77603052,17751.0,18425.0,2822.0,3803.0,3756.0,1807.0,6625.0,6909.0,5146.0,5335.0,4712.0,3600.0,2301.0,1110.0,438.0,12188.0,3307.0,33.94284588,9.1361049,28.83333333,28.48333333,29.06666667,34435,11796,500,566,3259,2989,2478,1907,97,22639,14503.0,2360.0,5756.0,3803.0,1161.0,1423.0,20090.0,7013.0,6315.0,4829.0,1933.0,33354.0,13492.0,18259.0,9164,8914,250,5440,3474,8914,7347,4674,2673,685,1988,1567,1269,298,589,313,368,505,462,534,525,455,606,693,981,1400,853,344,176,110,53788,52312,16956,53788,52312,30091,34446,24211,28664,29196,32508,33808,59364,1978.83333333,0,14,919,1704,1541,3247,1364,233,105,37,1108,1283,194133,25424,10752,72,5,49,12,6,565,95,15,455,0,734,133,0,0,503,72,9309,9309,122,9090,97,0,20.66666667,18.25861403
Lowry Field,8593.0,1062.0,6405.0,474.0,43.0,384.0,0.0,31.0,194.0,12.35889678,74.53741417,5.51611777,0.50040731,4.46875364,0.0,0.36075876,2.25765158,3839.0,4754.0,418.0,584.0,574.0,258.0,1002.0,977.0,1088.0,1568.0,1157.0,1123.0,985.0,327.0,366.0,1834.0,1383.0,21.34295357,16.09449552,37.7,35.9,38.8,8294,2376,60,105,438,529,371,353,520,5918,4015.0,844.0,1706.0,1047.0,167.0,251.0,6273.0,153.0,527.0,885.0,4708.0,8175.0,6861.0,559.0,4273,3979,294,2117,1862,3979,2020,1581,439,115,324,1959,1624,335,96,127,133,219,222,79,39,183,125,259,375,447,289,239,442,705,82048,134808,56851,82048,134808,64688,78375,55617,None,41367,42946,57455,90738,2003.0,0,359,2403,871,71,117,75,139,34,204,1229,1375,527900,7650,943,291,90,108,13,80,109,79,0,15,15,212,41,0,0,0,0,331,269,13,84,172,62,7.7,5.69306931
West Colfax,9479.0,4417.0,3455.0,1059.0,72.0,149.0,12.0,15.0,300.0,46.77279122,36.70513368,10.87240645,0.77515937,1.49633864,0.11700468,0.14625585,3.11491011,4634.0,4845.0,898.0,538.0,446.0,195.0,1436.0,831.0,1849.0,1855.0,1049.0,941.0,633.0,598.0,287.0,2077.0,1407.0,21.50349804,15.49484428,32.7,32.8,33.0,8809,2038,221,80,421,333,332,527,124,6771,3979.0,731.0,1951.0,749.0,251.0,297.0,6435.0,1785.0,1430.0,1515.0,1705.0,8581.0,5627.0,2341.0,4381,3885,496,943,2942,3885,1804,964,840,279,561,2081,1502,579,815,287,417,386,127,157,175,147,147,163,264,286,196,94,112,112,27850,32795,23176,27850,32795,26890,32962,19354,16022,27885,19986,49573,52977,1963.5,168,160,170,243,302,693,631,896,462,656,734,772,350150,7849,1630,85,40,30,10,5,113,12,15,77,9,368,350,18,0,0,0,1064,1064,59,986,19,0,34.0,31.6315868
West Highland,8999.0,1085.0,7375.0,282.0,7.0,137.0,0.0,0.0,113.0,12.08353586,81.9679801,3.0931199,0.07653619,1.5356892,0.0,0.0,1.24313874,4328.0,4671.0,555.0,420.0,233.0,306.0,975.0,617.0,1486.0,2162.0,1380.0,932.0,693.0,538.0,216.0,1514.0,1336.0,16.78137379,14.84751457,36.5,36.6,36.35,8592,1535,116,104,295,188,373,259,200,7057,4997.0,868.0,2231.0,1288.0,476.0,134.0,7158.0,303.0,895.0,1297.0,4663.0,8444.0,7790.0,392.0,4585,4262,323,2758,1504,4262,1872,1434,438,110,328,2390,1716,674,72,188,44,135,296,117,110,238,168,200,255,572,387,408,412,660,89108,133412,63802,89108,133412,58324,69916,53178,31125,36655,40582,60772,72292,1944.5,16,72,527,134,168,117,134,428,466,2523,1028,1082,438650,8622,377,151,114,18,14,5,134,128,0,0,6,4,0,0,0,4,0,88,23,4,2,17,65,10.9,8.46997094
Sloan Lake,7934.0,2175.0,5020.0,418.0,41.0,116.0,6.0,0.0,158.0,22.90447501,68.64582852,5.27960492,0.34651792,1.19262171,0.14866204,0.0,1.48228988,4080.0,3854.0,530.0,389.0,304.0,154.0,919.0,617.0,835.0,1836.0,1477.0,812.0,802.0,411.0,225.0,1377.0,1334.0,17.36812903,15.37217276,38.5,36.95,39.4,7584,1433,197,73,323,156,243,208,233,6151,4098.0,665.0,1805.0,1090.0,283.0,255.0,6160.0,754.0,813.0,1100.0,3493.0,7404.0,6346.0,907.0,3942,3742,200,2222,1520,3742,1780,1212,568,134,434,1962,1466,496,479,319,105,85,129,99,132,87,129,191,210,504,211,217,372,473,80097,107886,53536,80097,107886,57559,63576,52422,23750,26234,40286,58920,67217,1951.5,66,100,136,118,229,532,251,676,650,1184,1078,1132,450300,7467,467,66,37,22,0,7,83,22,5,52,4,0,0,0,0,0,0,318,313,3,310,0,5,13.15,10.06392321
Berkeley,9198.0,2433.0,6371.0,69.0,13.0,150.0,0.0,31.0,131.0,25.98969218,69.17405013,0.96946476,0.1880787,1.51351881,0.0,0.44849537,1.71670005,4400.0,4798.0,736.0,224.0,241.0,251.0,960.0,543.0,1159.0,2085.0,1640.0,1130.0,1101.0,293.0,287.0,1452.0,1232.0,15.90373926,13.5445239,39.2,39.95,38.1,8642,1516,140,34,230,194,271,289,358,7126,4867.0,802.0,2248.0,1205.0,491.0,121.0,7419.0,654.0,1078.0,1339.0,4348.0,8462.0,7128.0,1199.0,4581,4338,243,3060,1278,4338,2213,1702,511,117,394,2125,1528,597,304,95,105,194,152,170,184,120,72,357,451,431,439,309,498,457,77070,104158,48438,77070,104158,56640,60282,48416,33812,26102,44479,66138,68131,1939.0,138,139,379,85,89,218,101,424,472,2536,976,1167,403000,8554,644,69,0,19,25,25,67,54,0,0,13,5,5,0,0,0,15,488,426,0,426,0,62,8.4,5.96416149
Villa Park,9400.0,6574.0,2417.0,201.0,111.0,46.0,0.0,0.0,51.0,69.87261396,26.03193953,1.95367602,1.15489956,0.44410118,0.0,0.0,0.54276974,4776.0,4624.0,1003.0,751.0,595.0,218.0,1754.0,992.0,1690.0,1442.0,1287.0,1061.0,661.0,306.0,207.0,2567.0,948.0,26.93230534,10.01128105,31.5,31.75,31.85,8781,2169,231,184,587,397,349,335,86,6612,3942.0,732.0,1247.0,1249.0,312.0,402.0,6037.0,2218.0,1568.0,1183.0,1068.0,8397.0,3883.0,4276.0,3262,3104,158,1383,1721,3104,1953,1269,684,295,389,1151,871,280,394,301,217,235,223,178,86,155,126,260,310,204,191,115,81,28,40070,44903,18184,40070,44903,28594,30842,24772,25328,30395,24542,47639,33813,1956.5,0,43,248,94,81,416,415,1127,374,464,864,1017,184900,6836,2564,72,9,0,0,63,54,8,46,0,0,67,0,0,0,0,0,2371,2371,9,2344,18,0,24.6,19.81612379
Clayton,4253.0,1868.0,1361.0,762.0,38.0,63.0,0.0,11.0,150.0,43.92193746,32.00094051,17.91676464,0.89348695,1.48130731,0.0,0.25864096,3.52692217,2024.0,2229.0,198.0,300.0,194.0,257.0,498.0,572.0,619.0,949.0,524.0,451.0,362.0,145.0,133.0,949.0,452.0,22.31366095,10.62779215,35.1,34.8,35.3,4176,1069,43,45,245,113,386,172,65,3107,1993.0,366.0,980.0,326.0,174.0,147.0,2814.0,848.0,436.0,628.0,902.0,4055.0,2316.0,1669.0,1770,1635,135,859,776,1635,885,495,390,121,269,750,530,220,180,52,141,60,170,44,84,66,143,121,192,163,95,46,18,60,45420,42008,27359,45420,42008,31902,36346,29810,21473,26680,29844,42778,57500,1949.0,49,8,25,90,129,29,111,422,250,657,880,965,238800,3356,897,11,0,0,0,11,55,0,45,10,0,0,0,0,0,0,0,831,827,8,788,31,4,25.2,24.40677966
Gateway - Green Valley Ranch,36555.0,14893.0,8454.0,9897.0,130.0,1951.0,16.0,242.0,972.0,40.75638867,23.15456057,27.01214231,0.33345154,5.14592943,0.04217185,0.78181958,2.77353606,17817.0,18738.0,2917.0,3358.0,3377.0,1803.0,6275.0,5792.0,4974.0,6857.0,5768.0,3988.0,1913.0,735.0,253.0,11455.0,2429.0,31.33584075,6.68590349,31.75,31.725,31.75,34938,11541,609,783,2595,2690,2303,2127,434,23397,18064.0,2470.0,6649.0,5016.0,2259.0,1670.0,22504.0,3985.0,6240.0,7233.0,5046.0,33638.0,18457.0,10957.0,11596,11196,400,7866,3330,11196,8403,5878,2525,810,1715,2793,2010,783,252,221,111,326,367,622,492,501,704,1214,1412,2151,1295,796,503,229,68514,70662,24608,68514,70662,37718,42072,33772,29198,33242,39752,46193,54802,2001.25,415,893,6230,2469,1234,180,16,0,93,66,1350,1574,236225,26737,9818,311,113,145,0,53,1834,256,291,1287,0,1607,1067,13,26,350,6,6060,6006,244,5200,562,54,7.0,5.68067995
Indian Creek,3799.0,629.0,2585.0,230.0,0.0,106.0,0.0,0.0,249.0,16.55698868,68.04422216,6.0542248,0.0,2.79020795,0.0,0.0,6.55435641,1733.0,2066.0,317.0,141.0,106.0,8.0,458.0,119.0,701.0,682.0,395.0,529.0,539.0,255.0,121.0,572.0,772.0,15.05659384,20.32113714,39.0,35.7,43.0,3580,629,88,10,91,88,13,191,148,2951,2099.0,245.0,1096.0,500.0,119.0,139.0,2991.0,136.0,398.0,836.0,1621.0,3482.0,2877.0,291.0,2058,1985,73,1304,681,1985,843,522,321,83,238,1142,950,192,110,27,79,66,56,70,114,57,187,156,300,282,168,151,74,88,62026,62261,41559,62026,62261,48101,49150,46716,None,40000,38219,51234,62500,1984.0,13,0,12,249,1368,392,17,7,0,0,1233,1367,227600,3327,472,157,25,59,0,73,76,52,6,8,10,40,0,0,0,0,0,199,199,0,97,102,0,7.2,3.20284698
Five Points,16312.0,2867.0,10377.0,1615.0,59.0,321.0,24.0,0.0,1049.0,17.22913538,62.36521144,11.89062217,0.39770642,1.49029755,0.07519504,0.0,6.55183201,9074.0,7238.0,689.0,345.0,348.0,210.0,1034.0,603.0,5780.0,4077.0,1693.0,1651.0,1050.0,286.0,138.0,1592.0,937.0,11.95190183,8.39509366,33.03333333,33.6,32.53333333,15845,2656,262,108,110,253,296,1046,581,13189,9307.0,2838.0,3130.0,1995.0,772.0,572.0,12851.0,1099.0,1337.0,3185.0,7230.0,15623.0,13415.0,1608.0,8799,7963,836,2039,5924,7963,2224,1373,851,251,600,5739,3649,2090,821,457,263,186,292,225,260,247,246,535,810,954,623,897,620,527,63316,90983,46097,63316,90983,48311,50157,42591,26229,33797,33540,57818,67765,1974.66666667,755,803,3408,354,545,191,282,254,52,2155,1148,1226,382667,14991,1321,169,82,37,0,50,205,138,6,61,0,27,21,0,0,6,29,891,846,0,807,39,45,22.23333333,18.30598136
Northeast Park Hill,9669.0,2536.0,2227.0,4070.0,89.0,124.0,0.0,14.0,609.0,26.24276346,23.14636029,41.81873568,0.96378252,1.26256293,0.0,0.14611817,6.41967695,4700.0,4969.0,823.0,697.0,677.0,402.0,1520.0,1356.0,1290.0,1781.0,1261.0,913.0,809.0,421.0,318.0,2599.0,1310.0,26.88043998,13.49818503,34.0,31.0,36.3,9192,2722,298,163,551,567,523,542,78,6470,3821.0,821.0,1450.0,1034.0,256.0,260.0,6312.0,1097.0,1895.0,1757.0,1563.0,8846.0,6641.0,1891.0,3510,3359,151,1465,1894,3359,1916,926,990,168,822,1443,1110,333,367,228,222,160,173,231,296,129,116,228,366,379,161,97,184,22,40301,44978,22096,40301,44978,30054,27691,33652,24480,25966,25801,50896,57188,1964.0,73,306,407,119,81,117,227,2005,108,67,1006,1139,236500,8513,1156,48,37,0,0,11,30,6,13,11,0,131,0,0,0,35,0,947,947,38,897,12,0,25.8,23.37704025
Regis,4605.0,1293.0,3128.0,64.0,0.0,52.0,0.0,0.0,68.0,28.0781759,67.92616721,1.3897937,0.0,1.12920738,0.0,0.0,1.47665581,2201.0,2404.0,161.0,294.0,270.0,65.0,455.0,910.0,659.0,754.0,575.0,473.0,420.0,219.0,140.0,790.0,631.0,17.15526602,13.70249729,33.5,33.0,34.0,4461,1705,35,92,175,236,125,946,96,2756,2161.0,428.0,967.0,568.0,116.0,82.0,2946.0,201.0,658.0,732.0,1355.0,4444.0,4046.0,311.0,1687,1649,38,1150,499,1649,903,617,286,84,202,746,525,221,55,73,72,29,77,137,20,51,28,167,173,279,217,68,134,69,68342,88272,30226,68342,88272,46596,51658,42043,None,33750,40417,52240,63571,1939.0,0,0,21,34,44,84,141,341,146,876,1081,1197,326900,4451,154,40,17,0,10,13,23,6,5,12,0,0,0,0,0,0,25,66,49,0,20,29,17,16.9,11.40642303
Lincoln Park,6204.0,2769.0,2702.0,501.0,13.0,129.0,0.0,24.0,66.0,45.14549711,42.77917069,8.42584708,0.19022534,2.04969895,0.0,0.35118525,1.05837557,3210.0,2994.0,267.0,385.0,358.0,147.0,652.0,621.0,1459.0,1336.0,633.0,604.0,523.0,252.0,124.0,1157.0,690.0,19.31822871,11.26420075,32.3,32.35,33.3,6048,1563,96,52,323,306,188,498,100,4485,2816.0,959.0,990.0,557.0,155.0,155.0,4324.0,1191.0,754.0,911.0,1468.0,5937.0,3891.0,1696.0,2932,2750,182,856,1894,2750,1006,567,439,101,338,1744,1227,517,601,281,159,74,126,170,74,55,92,125,242,338,187,121,54,51,36900,38298,23777,36900,38298,35846,37684,32286,21320,26406,31500,45375,69396,1964.0,32,252,109,170,657,332,102,87,50,1141,716,824,275350,5104,1100,30,10,0,12,8,199,76,9,0,114,169,11,0,0,41,0,702,702,0,660,42,0,37.55,33.17030706
City Park West,5120.0,733.0,3338.0,718.0,8.0,99.0,0.0,47.0,177.0,15.64480112,62.88912612,14.2737048,0.23640662,1.63853649,0.0,1.38888889,3.92853596,2806.0,2314.0,167.0,190.0,89.0,45.0,357.0,141.0,1467.0,1338.0,601.0,423.0,516.0,172.0,105.0,491.0,590.0,11.08245681,11.11973154,33.05,32.25,33.6,4981,858,14,79,89,77,84,320,195,4123,2856.0,878.0,1005.0,649.0,187.0,137.0,4203.0,383.0,563.0,738.0,2519.0,4953.0,4612.0,180.0,2870,2666,204,779,1887,2666,704,476,228,33,195,1962,1434,528,485,205,85,125,118,92,39,90,132,230,211,224,128,160,128,214,50735,97854,42158,50735,97854,41830,40386,42692,24018,18156,28686,47614,63010,1946.5,32,8,256,156,175,327,265,123,139,1389,836,870,395700,4862,258,59,0,33,0,26,65,9,26,1,29,17,17,0,0,0,0,117,107,0,92,15,10,20.8,13.59728507
Whittier,5801.0,1382.0,2899.0,1341.0,41.0,13.0,0.0,0.0,125.0,23.82347871,49.97414239,23.11670402,0.70677469,0.22409929,0.0,0.0,2.1548009,2411.0,3390.0,281.0,346.0,417.0,180.0,627.0,681.0,1251.0,1331.0,993.0,378.0,326.0,149.0,65.0,1224.0,475.0,21.09981038,8.18824341,32.4,34.7,30.4,5649,1519,79,94,210,360,300,249,227,4130,3401.0,919.0,1375.0,865.0,194.0,48.0,4145.0,533.0,645.0,919.0,2048.0,5520.0,4371.0,1115.0,2273,2235,38,1190,1045,2235,1131,743,388,19,369,1104,600,504,109,111,34,18,105,58,117,163,71,104,239,386,211,135,259,115,74611,79196,35019,74611,79196,41529,42468,41294,18595,29773,37059,52447,61500,1939.0,0,14,133,36,50,163,212,132,30,1503,892,1091,381000,5449,352,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,331,331,0,331,0,0,15.7,11.40583554
Skyland,3245.0,173.0,1621.0,1325.0,0.0,0.0,0.0,0.0,126.0,5.33127889,49.95377504,40.83204931,0.0,0.0,0.0,0.0,3.88289676,1621.0,1624.0,303.0,55.0,43.0,79.0,358.0,122.0,501.0,784.0,339.0,280.0,525.0,147.0,189.0,480.0,535.0,14.79198767,16.48690293,37.0,35.7,39.2,3023,411,81,29,26,43,79,84,69,2612,1726.0,338.0,779.0,326.0,140.0,143.0,2583.0,217.0,433.0,589.0,1344.0,2942.0,2776.0,147.0,1525,1421,104,1014,407,1421,814,501,313,107,206,607,473,134,133,48,82,53,21,62,42,36,68,37,155,164,142,112,154,112,67375,92813,41509,67375,92813,46551,58260,35436,21308,36595,17274,71932,52434,1947.0,0,42,28,25,19,68,93,403,264,583,945,1111,340000,3158,87,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,83,83,9,65,9,0,13.2,8.47665848
Cole,4775.0,2463.0,1539.0,666.0,2.0,10.0,0.0,1.0,94.0,51.58115183,32.23036649,13.94764398,0.04188482,0.20942408,0.0,0.02094241,1.96858639,2514.0,2261.0,296.0,321.0,371.0,234.0,617.0,684.0,804.0,1187.0,696.0,306.0,288.0,143.0,50.0,1222.0,418.0,25.59162304,8.7539267,32.1,32.5,31.9,4632,1240,74,108,233,295,317,169,44,3392,2266.0,704.0,717.0,466.0,174.0,205.0,3344.0,953.0,622.0,732.0,1037.0,4479.0,2713.0,1708.0,1890,1744,146,891,853,1744,904,466,438,207,231,840,476,364,177,93,184,45,185,71,40,65,25,73,237,207,124,73,51,94,48700,52941,26258,48700,52941,32705,35800,28816,23494,21034,30051,49856,55139,1939.0,0,4,73,52,96,72,117,146,14,1316,754,857,265400,3603,1172,34,10,17,0,7,25,5,1,0,19,0,0,0,0,0,2,1111,1111,0,1086,25,0,25.3,22.01327434
Marston,11659.0,1904.0,8313.0,0.0,26.0,935.0,0.0,0.0,481.0,16.31066961,70.96799542,0.0,0.20268163,8.5014772,0.0,0.0,4.01717614,5487.0,6172.0,766.0,603.0,353.0,219.0,1369.0,742.0,1629.0,2004.0,1456.0,1832.0,1631.0,715.0,281.0,1941.0,2377.0,16.7276718,20.88748606,40.85,36.85,44.45,11252,2166,201,166,429,270,309,606,185,9086,6672.0,1056.0,2563.0,1692.0,862.0,499.0,8993.0,397.0,1368.0,3607.0,3621.0,10893.0,9424.0,567.0,5807,5572,235,3485,2087,5572,2715,2117,598,162,436,2857,2232,625,208,122,76,250,265,211,108,229,252,792,839,957,496,177,338,252,65634,77691,39550,65634,77691,42731,47069,38250,30476,31368,35470,54066,58986,1989.0,0,43,911,1786,1954,1012,44,30,0,27,1122,1222,294400,10650,1009,218,53,41,32,92,636,176,241,219,0,0,0,0,0,0,0,155,155,0,55,100,0,5.15,3.58146067
Washington Virginia Vale,13882.0,2252.0,7790.0,2290.0,68.0,825.0,0.0,27.0,630.0,15.14499803,60.15893911,13.53444952,0.4405804,5.25564327,0.0,0.33284024,5.13254942,7059.0,6823.0,877.0,585.0,572.0,312.0,1462.0,1072.0,2838.0,2495.0,1636.0,1696.0,1050.0,834.0,799.0,2346.0,2536.0,15.3205534,18.85169958,37.43333333,36.5,38.16666667,13276,2918,185,158,516,439,337,958,325,10358,7221.0,1613.0,2832.0,1847.0,499.0,430.0,10349.0,815.0,1615.0,3079.0,4840.0,13005.0,10313.0,824.0,7203,6757,446,2550,4207,6757,3074,2025,1049,384,665,3683,2960,723,550,379,235,471,398,318,433,508,301,482,654,745,475,232,326,250,51990,65751,34699,51990,65751,37500,40540,33322,26378,26364,33965,43693,57318,1969.66666667,9,32,289,626,863,2752,1481,1021,91,39,1032,1143,279200,11582,2300,467,67,44,29,327,724,192,307,139,86,707,234,48,30,60,0,402,402,14,273,115,0,14.03333333,10.15263886
Barnum,6453.0,4844.0,1536.0,33.0,40.0,0.0,0.0,0.0,0.0,75.06586084,23.80288238,0.51139005,0.61986673,0.0,0.0,0.0,0.0,3105.0,3348.0,436.0,483.0,659.0,369.0,919.0,1280.0,946.0,1080.0,690.0,846.0,318.0,224.0,150.0,1947.0,749.0,30.17201302,11.60700449,30.6,32.0,29.4,6221,1759,80,76,378,537,423,250,15,4462,2724.0,376.0,988.0,774.0,267.0,319.0,3722.0,1329.0,1172.0,821.0,400.0,6017.0,2553.0,3410.0,2047,1925,122,1037,888,1925,1385,828,557,96,461,540,388,152,189,163,77,146,125,116,110,73,143,236,190,227,81,39,10,0,42719,37294,14758,42719,37294,26775,30239,25114,25450,23495,30823,29868,None,1952.0,0,0,30,12,82,115,182,801,374,451,943,1100,168000,4729,1724,36,8,14,0,14,15,0,0,0,15,0,0,0,0,0,4,1669,1669,0,1625,44,0,28.2,28.5198556
Barnum West,6248.0,4605.0,1218.0,175.0,29.0,140.0,0.0,15.0,66.0,73.70358515,19.49423816,2.80089629,0.46414853,2.24071703,0.0,0.24007682,1.05633803,3363.0,2885.0,494.0,378.0,352.0,386.0,872.0,850.0,1007.0,964.0,792.0,665.0,696.0,240.0,162.0,1610.0,673.0,25.76824584,10.77144686,34.0,30.3,37.8,5920,1311,102,62,297,321,278,212,39,4609,2796.0,375.0,1223.0,897.0,190.0,111.0,3923.0,1419.0,1186.0,677.0,641.0,5754.0,2403.0,3160.0,1876,1795,81,1152,643,1795,1195,712,483,122,361,600,372,228,68,72,150,146,68,77,145,20,49,245,190,298,80,104,73,10,55871,56250,20076,55871,56250,32155,32832,31536,25515,35793,26458,52566,None,1954.0,0,0,4,62,34,95,79,1116,355,131,1004,1091,201000,4325,1923,23,16,7,0,0,143,0,0,132,11,37,37,0,0,0,0,1720,1720,0,1720,0,0,18.8,17.9916318
Speer,11793.0,1422.0,9493.0,236.0,11.0,400.0,0.0,0.0,231.0,11.78620282,80.73825964,1.90284468,0.08434936,3.36929213,0.0,0.0,2.11905137,5822.0,5971.0,377.0,178.0,189.0,148.0,555.0,423.0,3088.0,3350.0,1587.0,1114.0,962.0,409.0,305.0,892.0,1301.0,7.60826882,11.1390181,33.8,35.96666667,32.56666667,11607,1689,191,28,110,186,164,470,540,9918,7759.0,1941.0,3321.0,1639.0,569.0,289.0,10061.0,192.0,785.0,2029.0,7055.0,11416.0,10373.0,508.0,8231,7358,873,2075,5283,7358,1534,1120,414,196,218,5824,4468,1356,466,275,299,240,347,275,471,464,254,613,870,828,567,486,479,424,58245,110399,51809,58245,110399,52225,52771,52919,None,36161,49081,52050,60848,1959.0,167,227,116,376,501,1297,1620,994,305,2628,1045,1090,388033,11071,722,188,31,63,0,94,278,44,100,134,0,51,0,19,32,0,0,205,160,21,90,49,45,10.76666667,3.42466693
Cherry Creek,7140.0,480.0,6211.0,91.0,0.0,228.0,0.0,0.0,130.0,6.72268908,86.98879552,1.2745098,0.0,3.19327731,0.0,0.0,1.82072829,3337.0,3803.0,265.0,255.0,142.0,56.0,520.0,198.0,619.0,1233.0,990.0,995.0,1381.0,746.0,458.0,718.0,2470.0,10.05602241,34.59383754,50.1,48.4,51.7,6954,716,95,64,179,148,56,113,61,6238,3157.0,778.0,1368.0,780.0,142.0,89.0,6066.0,219.0,494.0,1127.0,4226.0,6875.0,6019.0,159.0,4654,4265,389,2349,1916,4265,1775,1332,443,206,237,2490,2049,441,278,187,105,142,114,74,87,139,172,259,150,286,364,239,576,1093,107168,193015,96060,107168,193015,77958,100000,58589,28866,None,58169,95700,81181,1992.0,181,91,988,1317,706,471,233,225,71,371,1403,1480,762500,6176,964,404,186,53,0,165,316,15,234,41,26,14,14,0,0,0,16,214,118,49,0,69,96,7.2,1.97183099
Country Club,3170.0,123.0,2897.0,10.0,57.0,22.0,0.0,0.0,61.0,3.88012618,91.38801262,0.31545741,1.79810726,0.69400631,0.0,0.0,1.92429022,1578.0,1592.0,237.0,148.0,202.0,111.0,385.0,332.0,351.0,361.0,488.0,427.0,500.0,300.0,26.0,698.0,858.0,22.01892744,27.06624606,43.6,42.5,44.2,3012,650,77,9,120,185,125,52,82,2362,1520.0,619.0,507.0,268.0,99.0,27.0,2308.0,19.0,32.0,262.0,1995.0,2933.0,2664.0,149.0,1416,1341,75,1074,267,1341,833,714,119,55,64,508,380,128,28,0,11,39,9,9,8,19,27,43,92,102,147,67,109,631,173750,231625,108423,173750,231625,77361,144432,55238,None,None,61977,76361,91806,1939.0,0,0,48,28,10,36,21,80,68,1125,1696,1769,957500,3023,147,49,18,14,0,17,30,22,8,0,0,10,10,0,0,0,0,58,19,0,9,10,39,2.7,0.0
